Departamento,Municipio,cod_mun,Altura,Clima
Tolima,Suárez,73770, 290 ,Templado
Casanare,Aguazul,85010, 290 ,Cálido húmedo
Putumayo,Puerto Caicedo,86569, 290 ,Cálido húmedo
Putumayo,San Miguel,86757, 290 ,Cálido húmedo
Tolima,Murillo,73461, 293 ,Cálido seco
Norte de Santander,Cúcuta,54001, 297 ,Cálido seco
Caquetá,Cartagena del Chairá,18150, 300 ,Cálido húmedo
Cundinamarca,Paratebueno,25530, 300 ,Cálido húmedo
La Guajira,La Jagua del Pilar,44420, 300 ,Cálido seco
Norte de Santander,Sardinata,54720, 300 ,Cálido húmedo
Arauca,Fortúl,81300, 300 ,Cálido húmedo
Tolima,Armero (Guayabal),73055, 310 ,Cálido húmedo
Tolima,Saldaña,73671, 310 ,Templado
Putumayo,Orito,86320, 310 ,Cálido húmedo
Caquetá,Belén de los Andaquíes,18094, 312 ,Cálido húmedo
Atlántico,Piojo,8549, 314 ,Cálido húmedo
Putumayo,Valle del Guamuez,86865, 316 ,Cálido húmedo
Tolima,Guamo,73319, 321 ,Cálido húmedo
Tolima,Prado,73563, 321 ,Cálido húmedo
Tolima,Espinal,73268, 323 ,Cálido seco
Tolima,Melgar,73449, 323 ,Cálido seco
Tolima,Natagaima,73483, 326 ,Cálido seco
Tolima,Carmen de Apicalá,73148, 328 ,Templado
Tolima,Purificación,73585, 329 ,Cálido húmedo
Cundinamarca,Nilo,25488, 336 ,Templado
Tolima,Coello,73200, 339 ,Cálido seco
Arauca,Tame,81794, 340 ,Templado
Caquetá,El Paujil,18256, 346 ,Cálido húmedo
Tolima,Venadillo,73861, 348 ,Cálido seco
Caquetá,Solita,18785, 350 ,Cálido húmedo
Caquetá,Valparaiso,18860, 350 ,Cálido húmedo
Meta,Castilla la Nueva,50150, 350 ,Cálido húmedo
Meta,San Carlos de Guaroa,50680, 350 ,Cálido húmedo
Casanare,Yopal,85001, 350 ,Cálido húmedo
Casanare,Villanueva,85440, 350 ,Cálido húmedo
Boyacá,Cubará,15223, 357 ,Cálido húmedo
Cundinamarca,Jerusalén,25368, 357 ,Frío
Meta,Fuente de Oro,50287, 359 ,Cálido húmedo
San Andrés,Providencia,88001, 360 ,Cálido húmedo
Tolima,Lérida,73408, 366 ,Cálido seco
Caquetá,El Doncello,18247, 373 ,Cálido húmedo
Casanare,Nunchía,85225, 380 ,Cálido húmedo
Huila,Villavieja,41872, 384 ,Cálido seco
Huila,Aipe,41016, 390 ,Cálido seco
Tolima,Coyaima,73217, 392 ,Frío
Boyacá,San Luís de Gaceno,15667, 400 ,Cálido húmedo
Cundinamarca,Agua de Dios,25001, 400 ,Cálido seco
Cundinamarca,Tocaima,25815, 400 ,Cálido seco
Meta,El Calvario,50245, 400 ,Cálido húmedo
Putumayo,Villagarzón,86885, 400 ,Cálido húmedo
Tolima,Ortega,73504, 402 ,Cálido húmedo
Tolima,Piedras,73547, 403 ,Cálido seco
Meta,Granada,50313, 410 ,Templado
Norte de Santander,Los Patios,54405, 410 ,Cálido seco
Norte de Santander,Santiago,54680, 411 ,Cálido seco
Meta,San Martín,50689, 419 ,Cálido húmedo
Cundinamarca,Apulo,25599, 420 ,Cálido seco
Santander,Jordán,68370, 425 ,Cálido seco
Antioquia,Olaya,5501, 430 ,Cálido húmedo
Tolima,Alvarado,73026, 439 ,Cálido seco
Norte de Santander,Villa del Rosario,54874, 440 ,Cálido seco
Huila,Neiva,41001, 442 ,Cálido seco
Tolima,Ataco,73067, 446 ,Cálido seco
Antioquia,Dabeiba,5234, 450 ,Cálido húmedo
Meta,Villavicencio,50001, 450 ,Cálido húmedo
Meta,Vista Hermosa,50711, 450 ,Cálido húmedo
Casanare,Sabanalarga,85300, 450 ,Cálido húmedo
Casanare,Tauramena,85410, 450 ,Cálido húmedo
Meta,Cumaral,50226, 452 ,Cálido húmedo
Tolima,Cunday,73226, 475 ,Templado
Caquetá,Albania,18029, 480 ,Cálido húmedo
Meta,El Castillo,50251, 480 ,Cálido húmedo
Tolima,Mariquita,73443, 495 ,Cálido húmedo
Cundinamarca,Útica,25851, 497 ,Templado
Meta,Acacías,50006, 498 ,Templado
Santander,El Carmen,68235, 500 ,Cálido seco
Casanare,Monterrey,85162, 500 ,Cálido húmedo
Tolima,San Luis,73678, 506 ,Cálido seco
Meta,San Juan de Arama,50683, 510 ,Cálido húmedo
Meta,Guamal,50318, 518 ,Cálido húmedo
Huila,Campoalegre,41132, 525 ,Cálido seco
Meta,Cubarral,50223, 535 ,Cálido húmedo
Caquetá,San José del Fragua,18610, 540 ,Cálido húmedo
Antioquia,Santa Fé de Antioquia,5042, 550 ,Cálido húmedo
Huila,Palermo,41524, 550 ,Cálido seco
Meta,El Dorado,50270, 550 ,Cálido húmedo
Putumayo,Mocoa,86001, 550 ,Cálido húmedo
Huila,Yaguará,41885, 560 ,Cálido seco
Cundinamarca,Viotá,25878, 567 ,Templado
Meta,Restrepo,50606, 570 ,Cálido húmedo
Huila,Tello,41799, 575 ,Cálido seco
Cundinamarca,Medina,25438, 576 ,Templado
Santander,Rio Negro,68615, 590 ,Cálido seco
Huila,Hobo,41349, 596 ,Cálido seco
Tolima,Valle de San Juan,73854, 600 ,Cálido seco
Antioquia,Anzá,5044, 620 ,Cálido húmedo
Bolívar,Santa Rosa del Sur,13688, 620 ,Cálido húmedo
Antioquia,Segovia,5736, 650 ,Cálido húmedo
Antioquia,Caracolí,5142, 651 ,Cálido húmedo
Meta,Uribe,50370, 653 ,Cálido húmedo
Antioquia,La Pintada,5390, 660 ,Cálido húmedo
Santander,Cepita,68160, 660 ,Cálido seco
Boyacá,San Pablo de Borbur,15681, 678 ,Cálido húmedo
Antioquia,Remedios,5604, 680 ,Cálido húmedo
Santander,San Vicente del Chucurí,68689, 693 ,Cálido húmedo
Cundinamarca,Anapoima,25035, 700 ,Templado
Santander,Girón,68307, 701 ,Cálido seco
Antioquia,Sopetrán,5761, 725 ,Cálido húmedo
Huila,Rivera,41615, 729 ,Cálido seco
Huila,Baraya,41078, 730 ,Cálido seco
Huila,Tesalia,41797, 733 ,Cálido seco
Antioquia,San Jerónimo,5656, 750 ,Cálido húmedo
Caldas,La Victoria,17867, 750 ,Cálido húmedo
Norte de Santander,El Carmen,54245, 761 ,Templado
Cesar,Manaure Balcón del Cesar,20443, 780 ,Templado
Boyacá,Pajarito,15518, 793 ,Cálido húmedo
Cundinamarca,Villeta,25875, 799 ,Templado
Santander,Florián,68271, 800 ,Templado
Casanare,Recetor,85279, 800 ,Cálido húmedo
Huila,Gigante,41306, 808 ,Cálido seco
Norte de Santander,Salazar,54660, 815 ,Templado
Antioquia,Liborina,5411, 820 ,Cálido húmedo
Huila,Tarqui,41791, 826 ,Cálido seco
Meta,Mesetas,50330, 827 ,Cálido húmedo
Huila,Garzón,41298, 828 ,Frío
Valle del Cauca,Dagua,76233, 828 ,Cálido seco
Huila,Agrado,41013, 838 ,Cálido seco
Meta,Lejanías,50400, 840 ,Cálido húmedo
Boyacá,Muzo,15480, 843 ,Cálido húmedo
Huila,Colombia,41206, 850 ,Cálido seco
Tolima,Chaparral,73168, 854 ,Frío
Tolima,Villarrica,73873, 860 ,Templado
Huila,Paicol,41518, 866 ,Cálido seco
Cauca,Guachené,19300, 873 ,Cálido seco
Antioquia,Vegachí,5858, 874 ,Cálido húmedo
Santander,Palmar,68522, 875 ,Cálido seco
Santander,Floridablanca,68276, 878 ,Cálido seco
Risaralda,Apía,66045, 899 ,Cálido húmedo
Boyacá,Santa María,15690, 900 ,Cálido húmedo
Tolima,Rioblanco,73616, 900 ,Frío
Tolima,Rovira,73624, 900 ,Templado
Valle del Cauca,Guacarí,76318, 900 ,Templado
Cauca,Patía (El Bordo),19532, 910 ,Cálido seco
Huila,Teruel,41801, 910 ,Cálido seco
Valle del Cauca,La Victoria,76403, 915 ,Templado
Valle del Cauca,Zarzal,76895, 916 ,Templado
Valle del Cauca,Cartago,76147, 917 ,Templado
Huila,Pital,41548, 918 ,Cálido seco
Santander,Galán,68296, 919 ,Cálido seco
Valle del Cauca,Calí,76001, 926 ,Cálido seco
Huila,Guadalupe,41319, 929 ,Cálido seco
Valle del Cauca,Obando,76497, 932 ,Templado
Norte de Santander,Arboledas,54051, 946 ,Templado
Antioquia,Maceo,5425, 950 ,Cálido húmedo
Boyacá,Coper,15212, 950 ,Cálido húmedo
Norte de Santander,Durania,54239, 950 ,Templado
Santander,Bucaramanga,68001, 950 ,Cálido seco
Valle del Cauca,Bugalagrande,76113, 950 ,Templado
Valle del Cauca,Toro,76823, 950 ,Templado
Cundinamarca,Paime,25518, 960 ,Templado
Valle del Cauca,Roldanillo,76622, 966 ,Templado
Cauca,Puerto Tejada,19573, 968 ,Cálido seco
Valle del Cauca,Buga,76111, 969 ,Templado
